Frame,Kecepatan,Y0X_Pixel,Y239X_Pixel,Y479X_Pixel,Y0X_Meter,Y239X_Meter,Y479X_Meter,errorY_0_Xmeter,errorY_239_Xmeter,errorY_479_Xmeter,Radius,Curvature,Y0(meter),Y239(meter),Y479(meter),Steering_Angle,Angle,FPS
140,0,329,302,300,0.41125,0.3775,0.375,0.01125,-0.0225,-0.025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.3
141,0,330,303,300,0.41250000000000003,0.37875000000000003,0.375,0.0125,-0.02125,-0.025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.4
142,0,330,304,300,0.41250000000000003,0.38,0.375,0.0125,-0.02,-0.025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.0
143,0,331,304,300,0.41375,0.38,0.375,0.01375,-0.02,-0.025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,2.6
144,0,332,305,299,0.41500000000000004,0.38125000000000003,0.37375,0.015,-0.01875,-0.02625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.7
145,0,333,308,300,0.41625,0.385,0.375,0.01625,-0.015,-0.025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.7
146,0,336,310,301,0.42,0.3875,0.37625000000000003,0.02,-0.0125,-0.02375,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.5
147,0,338,312,303,0.4225,0.39,0.37875000000000003,0.0225,-0.01,-0.02125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.5
148,0,339,314,303,0.42375,0.3925,0.37875000000000003,0.02375,-0.0075,-0.02125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.9
149,0,340,316,304,0.425,0.395,0.38,0.025,-0.005,-0.02,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.6
150,0,342,317,304,0.4275,0.39625,0.38,0.0275,-0.00375,-0.02,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.2
151,0,343,319,305,0.42875,0.39875,0.38125000000000003,0.02875,-0.00125,-0.01875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.1
152,0,344,320,306,0.43,0.4,0.3825,0.03,0.0,-0.0175,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.4
153,0,347,322,308,0.43375,0.4025,0.385,0.03375,0.0025,-0.015,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.4
154,0,348,324,310,0.435,0.405,0.3875,0.035,0.005,-0.0125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.0
155,0,351,326,311,0.43875000000000003,0.40750000000000003,0.38875,0.03875,0.0075,-0.01125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.6
156,0,352,328,313,0.44,0.41000000000000003,0.39125,0.04,0.01,-0.00875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.8
157,0,354,328,313,0.4425,0.41000000000000003,0.39125,0.0425,0.01,-0.00875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.6
158,0,355,330,314,0.44375000000000003,0.41250000000000003,0.3925,0.043750000000000004,0.0125,-0.0075,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.9
159,0,356,331,315,0.445,0.41375,0.39375,0.045,0.01375,-0.00625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.3
160,0,357,332,316,0.44625000000000004,0.41500000000000004,0.395,0.04625,0.015,-0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.2
161,0,360,334,318,0.45,0.4175,0.3975,0.05,0.0175,-0.0025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.1
162,0,362,336,319,0.4525,0.42,0.39875,0.0525,0.02,-0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.9
163,0,364,339,322,0.455,0.42375,0.4025,0.055,0.02375,0.0025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.5
164,0,366,341,324,0.4575,0.42625,0.405,0.0575,0.02625,0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,2.5
165,0,368,342,324,0.46,0.4275,0.405,0.06,0.0275,0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.0
